"species","width_2length","kapa_x_norm","S_norm","diet"
"C. flava",0.232153194245548,0.989068113354142,2.90177539443217,"insects and other inverts + nectar"
"C. stejnegeri",0.200455679330447,0.986432493068641,1.92966331049927,"insects and other inverts + nectar"
"C. stejnegeri",0.183208894236737,1.11042564964885,1.54122973146037,"insects and other inverts + nectar"
"C. stejnegeri",0.201760445383438,0.68631093335843,0.467336121695923,"insects and other inverts + nectar"
"C. stejnegeri",0.179247239426055,0.994451689526192,1.5858808863908,"insects and other inverts + nectar"
"C. virens",0.21273033496948,0.904077804737355,2.49427431984,"insects and other inverts + nectar"
"C. virens",0.223748842509499,0.819652080164521,1.38645476958621,"insects and other inverts + nectar"
"C. virens",0.226580741819581,0.605458261688929,0.829681171266167,"insects and other inverts + nectar"
"C. virens",0.230624849828593,0.663681332347882,1.79861028749945,"insects and other inverts + nectar"
"C. virens",0.21444059667929,0.808830035490615,1.03855273327125,"insects and other inverts + nectar"
"C. virens",0.20204018773041,1.00849967337051,1.37312053133294,"insects and other inverts + nectar"
"H. sanguinea",0.186812036923936,1.03620159794318,2.67130147883204,"nectar"
"H. sanguinea",0.208122509804387,0.916056444753199,3.55920506393267,"nectar"
"H. sanguinea",0.188621141573485,0.865072441015252,3.84745391147171,"nectar"
"H. sanguinea",0.183727443100489,1.10184826990494,3.9936317288274,"nectar"
"H. wilsoni",0.141476018341847,1.29788318927391,7.32197036491599,"insects and other inverts"
"H. wilsoni",0.116363451809171,1.0629623953499,5.46559579049826,"insects and other inverts"
"L. bailleui",0.502840604799097,0.83883017662088,4.54159879540756,"fruits and leaves + seeds and nuts"
"L. caeruleirostris",0.410663102905572,0.500067895022527,1.56578237933981,"insects and other inverts"
"L. coccineus",0.35715362446905,0.484425745342789,3.16441204917226,"insects and other inverts"
"L. coccineus",0.385076326818601,0.54274970922755,2.53843689492959,"insects and other inverts"
"M. mana",0.245523077292522,0.300820615138486,1.04197681550926,"insects and other inverts"
"M. parva",0.28114054282035,0.767362177579537,1.95724790471611,"insects and other inverts + nectar"
"M. parva",0.280603261044459,0.762186413915878,2.9583226944625,"insects and other inverts + nectar"
"M. parva",0.274759382900906,0.55852699325372,1.56867468018134,"insects and other inverts + nectar"
"M. phaeosoma",0.378298088763928,0.660006971314529,3.4702209887609,"insects and other inverts"
"M. phaeosoma",0.432418791520446,0.547763134389591,3.56245038339795,"insects and other inverts"
"O. bairdi",0.234507728641051,0.47990670973654,1.14592949643966,"insects and other inverts"
"O. bairdi",0.233771561475176,0.307019449517901,1.90900883044918,"insects and other inverts"
"P. dolei",0.202571305350725,0.966927302320796,4.95319796718338,"nectar"
"P. montana",0.225389046771983,0.659609146768347,2.0339985765938,"insects and other inverts"
"P. xanthophrys",0.1800333404334,0.908588267473939,0.827107751702881,"insects and other inverts"
"T. cantans",0.402792440446609,0.668565257553208,5.38133834869905,"seeds and nuts"
"T. cantans",0.365625468877804,0.771707002145461,5.03863311203339,"seeds and nuts"
"T. cantans",0.466358272464211,0.59769803675153,4.26827515956236,"seeds and nuts"
"T. cantans",0.36746535457082,0.753076746929561,6.14923066316065,"seeds and nuts"
"T. ultima",0.450113523116666,0.672412237010355,4.08839178504131,"seeds and nuts"
"V. coccinea",0.104969252128104,2.05801691983317,1.29892886762524,"nectar"
"V. coccinea",0.0997879556916741,2.09565087256273,1.82319292525878,"nectar"
"V. coccinea",0.11648675586703,1.97202896318861,2.69662256982735,"nectar"
"V. coccinea",0.120829374134908,1.73875496649906,2.02704222256586,"nectar"
